Type: ,demo
Name: ,Lazaret Demo
Steam AppID: ,2134880
Required Age: ,0
Is Free: ,True
Detailed Description: ,
About the Game: ,
Short Description: ,
Supported Languages: ,English<strong>*</strong><br><strong>*</strong>languages with full audio support
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134880/header.jpg?t=1663845743
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2134880/capsule_231x87.jpg?t=1663845743
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2134880/capsule_184x69.jpg?t=1663845743
Website: ,N/A
PC Minimum Requirements: ,Minimum:OS: Windows 10Processor: 2.5 GHzMemory: 4 GB RAMGraphics: Shader Model 4.0DirectX: Version 10Storage: 2 GB available space
PC Maximum Requirements: ,Recommended:OS: Windows 10Processor: 3.0 GHzMemory: 8 GB RAMGraphics: GeForce GTX 1660DirectX: Version 12Storage: 2 GB available space
Developers: ,Aegon Games
Publishers: ,Aegon Games
Price Overview: N/A
Packages: N/A
Package Groups: N/A
Windows: ,True
Mac: ,False
Linux: ,False
Metacritic: N/A
Categories: ,Single-player,Game demo,Partial Controller Support,Family Sharing,
Genres: N/A
Screenshots: N/A

