Type: ,dlc
Name: ,RPG Maker MV - NPC Female Citizens Vol.1
Steam AppID: ,2135062
Required Age: ,0
Is Free: ,False
Detailed Description: ,Bring some new NPC voices to your game with NPC Female Citizens Vol1! TK. Projects is back with another voice pack this time focusing on a variety of women you could find in a castle city. With voice types from cheerful young merchants to creaky elderly women this pack’s 12 Japanese voices are ready to help you add some cheer (or fear) to the town’s commerce section.    10 different SEs for each voice type means you have 120 SEs to choose from! Find the right voice clip for every situation with options for greetings anger agreement questioning thinking worry laughter happiness surprise and fear.  Features:     120 different phrases and sayings   10 SE per character   ogg and m4a file formats included    Terms of Use:     This pack is for use in RPG Maker Series or the engine of your choice.   OK to be used in Commercial projects   Contents can be edited   OK for use in games with gore   OK for use in adult-rated games
About the Game: ,Bring some new NPC voices to your game with NPC Female Citizens Vol1! TK. Projects is back with another voice pack this time focusing on a variety of women you could find in a castle city. With voice types from cheerful young merchants to creaky elderly women this pack’s 12 Japanese voices are ready to help you add some cheer (or fear) to the town’s commerce section.    10 different SEs for each voice type means you have 120 SEs to choose from! Find the right voice clip for every situation with options for greetings anger agreement questioning thinking worry laughter happiness surprise and fear.  Features:     120 different phrases and sayings   10 SE per character   ogg and m4a file formats included    Terms of Use:     This pack is for use in RPG Maker Series or the engine of your choice.   OK to be used in Commercial projects   Contents can be edited   OK for use in games with gore   OK for use in adult-rated games
Short Description: ,Bring some new NPC voices to your game with NPC Female Citizens Vol1!
Supported Languages: ,English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Japanese, Korean, Traditional Chinese, Arabic, Simplified Chinese
Header Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135062/header.jpg?t=1681223348
Capsule Image: ,https://cdn.akamai.steamstatic.com/steam/apps/2135062/capsule_231x87.jpg?t=1681223348
Capsule Imagev5: ,https://cdn.akamai.steamstatic.com/steam/apps/2135062/capsule_184x69.jpg?t=1681223348
Website: ,N/A
PC Minimum Requirements: ,Minimum:Additional Notes: System Supporting RPG Maker MV
Developers: ,TK.Projects
Publishers: ,KOMODO
Price Currency: ,USD
Price Initial: ,3499
Price Final: ,3499
Price Discount Percent: ,0
Price Initial Formatted: ,
Price Final Formatted: ,$34.99
Packages: ,763752
Package Group Name: ,default
Package Group Title: ,Buy RPG Maker MV - NPC Female Citizens Vol.1
Package Group Description: ,
Package Group Selection Text: ,Select a purchase option
Package Group Save Text: ,
Package Group Display Type: ,0
Package Group Recurring Subscription: ,false
Package Group Subs,: ,Sub
Windows: ,True
Mac: ,True
Linux: ,True
Metacritic: N/A
Categories: ,Downloadable Content,Steam Trading Cards,Steam Workshop,Partial Controller Support,
Genres: ,Design & Illustration,Web Publishing,
Screenshot ID: ,0
Screenshot Path Thumbnail: ,https://cdn.akamai.steamstatic.com/steam/apps/2135062/ss_9a2bd9c81f097876619121523f2761f8591c0b64.600x338.jpg?t=1681223348
Screenshot Path Full: ,https://cdn.akamai.steamstatic.com/steam/apps/2135062/ss_9a2bd9c81f097876619121523f2761f8591c0b64.1920x1080.jpg?t=1681223348

